job_titles,company_names,company_locations,work_methods,post_dates,work_times
Data Analyst,Olympic Industries ULC,"Olympic Industries ULC · North Vancouver, BC · 3 weeks ago · Over 100 applicants","CA$60,000/yr - CA$70,000/yr",3 weeks ago,Hybrid
Quantitative Analyst,Affirm,"Affirm · Queens, PE · Reposted 1 day ago · 22 applicants",Remote,Reposted 1 day ago,Full-time
Junior Data Analyst,University Canada West,"University Canada West · Vancouver, BC · 3 weeks ago · Over 100 applicants","CA$45,000/yr - CA$50,000/yr",3 weeks ago,Hybrid
Sr. Data Business Analyst,Insight Global,"Insight Global · Vancouver, BC · 3 weeks ago · Over 100 applicants","CA$120,000/yr - CA$145,000/yr",3 weeks ago,Hybrid
Analyste des données,Ministère des Transports et de la Mobilité durable du Québec (MTMD),"Ministère des Transports et de la Mobilité durable du Québec (MTMD) · Quebec, Canada · 1 week ago · 11 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
Data Analysis and Knowledge Mobilization Officer,BC Public Service,"BC Public Service · British Columbia, Canada · 2 weeks ago · 46 applicants","CA$80,652.20/yr - CA$91,992.70/yr",2 weeks ago,Hybrid
Lead Quantitative Researcher,Bullish,"Bullish · Greater Toronto Area, Canada · Reposted 3 weeks ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 3 weeks ago,On-site
Business Intelligence Analyst (Fluent in French),RONA,"RONA · Boucherville, QC · 1 week ago · 19 applicants",Remote,1 week ago,Full-time
"Analyst/Senior Analyst (Analytics, Bangkok-based, Relocation provided)",Agoda,"Agoda · Toronto, ON · Reposted 4 days ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 4 days ago,Full-time
"Senior Data Analyst, Marketing Analytics",TextNow,"TextNow · Waterloo, ON · 5 days ago · Over 100 applicants",Remote,5 days ago,Full-time
Sustainability Analytics Senior Analyst,Equinix,"Equinix · Toronto, ON · Reposted 1 day ago · 36 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 day ago,On-site
"Senior Consultant, Global People Analytics & Advisory",Deloitte,"Deloitte · Ottawa, ON · Reposted 1 week ago · 57 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
Senior Data Analyst (Fixed Term),Sun Life,"Sun Life · Waterloo, ON · 1 week ago · 39 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
Analyste en informations normatives et de marchés,Investissement Québec,"Investissement Québec · Montreal, QC · Reposted 4 days ago · 8 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 4 days ago,On-site
Field Competitive Intelligence Analyst (Remote),CrowdStrike,"CrowdStrike · Nova Scotia, Canada · 1 week ago · 27 applicants",Remote,1 week ago,Full-time
"Sr. Analyst, Market Insights, TH, CPG",Tim Hortons,"Tim Hortons · Toronto, ON · Reposted 1 week ago · Over 100 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 1 week ago,On-site
"Analyst Developer, BI",BRP,BRP · Greater Montreal Metropolitan Area · Reposted 2 weeks ago · Over 100 applicants,"Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 weeks ago,Hybrid
"Data Analyst, Data Analytics",Cardinal Health Canada,"Cardinal Health Canada · Vaughan, ON · Reposted 1 day ago · 94 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 day ago,Full-time
Data analyst (Business Intelligence Analyst),BOMBARDIER,"BOMBARDIER · Montreal, QC · Reposted 2 days ago · 98 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",Reposted 2 days ago,Hybrid
Senior Data Analyst – Merge Dragons,Zynga,"Zynga · Toronto, ON · 3 weeks ago · Over 100 applicants","Hybrid
Matches your job preferences, workplace type is Hybrid.",3 weeks ago,Hybrid
Field Competitive Intelligence Analyst (Remote),CrowdStrike,"CrowdStrike · Toronto, ON · 1 week ago · 13 applicants",Remote,1 week ago,Full-time
"Senior Data Analyst, Marketing Analytics",TextNow,"TextNow · Toronto, ON · 5 days ago · Over 100 applicants",Remote,5 days ago,Full-time
"Senior Consultant, Global People Analytics & Advisory",Deloitte,"Deloitte · Vancouver, BC · Reposted 1 week ago · 57 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 1 week ago,Full-time
"Data Analyst (Bangkok Based, relocation provided)",Agoda,"Agoda · Toronto, ON · Reposted 3 days ago · Over 100 applicants","Full-time
Matches your job preferences, job type is Full-time.",Reposted 3 days ago,Full-time
Field Competitive Intelligence Analyst (Remote),CrowdStrike,"CrowdStrike · Vancouver, BC · 1 week ago · 3 applicants",Remote,1 week ago,Full-time
"Analyst, Data and Information",Teck Resources Limited,"Teck Resources Limited · Vancouver, BC · 1 week ago · 40 applicants","On-site
Matches your job preferences, workplace type is On-site.",1 week ago,On-site
Biostatistician,Everest Clinical Research,"Everest Clinical Research · Markham, ON · Reposted 1 week ago · 41 applicants",Remote,Reposted 1 week ago,Full-time
Quantitative Analyst,Affirm,"Affirm · Calgary, AB · Reposted 1 day ago · 31 applicants",Remote,Reposted 1 day ago,Full-time
Lead Systems Analyst - HR systems,OpenText,"OpenText · Waterloo, ON · Reposted 2 days ago · 49 applicants","On-site
Matches your job preferences, workplace type is On-site.",Reposted 2 days ago,On-site
Senior HR Systems Analyst,Pinnacle | Executive & Professional Search,"Pinnacle | Executive & Professional Search · Winnipeg, MB · 3 weeks ago · 68 applicants","On-site
Matches your job preferences, workplace type is On-site.",3 weeks ago,On-site
